,Date,Province_State,Recovered,Deaths,Confirmed,Active
103,2020-03-11,Uttar Pradesh,0,0.0,9,9.0
104,2020-03-11,Ladakh,0,0.0,2,2.0
105,2020-03-11,Tamil Nadu,0,0.0,1,1.0
106,2020-03-11,Jammu and Kashmir,0,0.0,1,1.0
107,2020-03-11,Punjab,0,0.0,1,1.0
108,2020-03-11,Karnataka,0,0.0,4,4.0
109,2020-03-12,Delhi,0,0.0,6,6.0
110,2020-03-12,Haryana,0,0.0,14,14.0
111,2020-03-12,Kerala,3,0.0,17,14.0
112,2020-03-12,Rajasthan,0,0.0,3,3.0
113,2020-03-12,Telengana,0,0.0,1,1.0
114,2020-03-12,Uttar Pradesh,0,0.0,11,11.0
115,2020-03-12,Ladakh,0,0.0,3,3.0
116,2020-03-12,Tamil Nadu,0,0.0,1,1.0
117,2020-03-12,Jammu and Kashmir,0,0.0,1,1.0
118,2020-03-12,Punjab,0,0.0,1,1.0
119,2020-03-12,Karnataka,0,0.0,4,4.0
120,2020-03-12,Maharashtra,0,0.0,11,11.0
121,2020-03-12,Andhra Pradesh,0,0.0,1,1.0
122,2020-03-13,Delhi,0,0.0,6,6.0
123,2020-03-13,Haryana,0,0.0,14,14.0
124,2020-03-13,Kerala,3,0.0,19,16.0
125,2020-03-13,Rajasthan,0,0.0,3,3.0
126,2020-03-13,Telengana,0,0.0,1,1.0
127,2020-03-13,Uttar Pradesh,0,0.0,11,11.0
128,2020-03-13,Ladakh,0,0.0,3,3.0
129,2020-03-13,Tamil Nadu,0,0.0,1,1.0
130,2020-03-13,Jammu and Kashmir,0,0.0,1,1.0
131,2020-03-13,Punjab,0,0.0,1,1.0
132,2020-03-13,Karnataka,0,1.0,6,5.0
133,2020-03-13,Maharashtra,0,0.0,14,14.0
134,2020-03-13,Andhra Pradesh,0,0.0,1,1.0
135,2020-03-14,Delhi,1,1.0,7,5.0
136,2020-03-14,Haryana,0,0.0,14,14.0
137,2020-03-14,Kerala,3,0.0,19,16.0
138,2020-03-14,Rajasthan,1,0.0,3,2.0
